ts_local,completed_slug,next_slug,epsilon,replay_available_rows,replay_sample_size,replay_epochs,replay_updates_applied,q_table_states
2026-04-20T19:00:00.524124+00:00,btc-updown-5m-1776711300,btc-updown-5m-1776711600,0.08235980082255547,1246,1246,3,3738,730
2026-04-20T19:05:00.165987+00:00,btc-updown-5m-1776711600,btc-updown-5m-1776711900,0.03,1682,1682,3,5046,976
2026-04-20T19:10:00.780933+00:00,btc-updown-5m-1776711900,btc-updown-5m-1776712200,0.03,2118,2048,3,6144,1275
2026-04-20T19:15:00.329648+00:00,btc-updown-5m-1776712200,btc-updown-5m-1776712500,0.03,2542,2048,3,6144,1500
2026-04-20T19:20:00.857697+00:00,btc-updown-5m-1776712500,btc-updown-5m-1776712800,0.03,2966,2048,3,6144,1631
2026-04-20T19:25:00.637918+00:00,btc-updown-5m-1776712800,btc-updown-5m-1776713100,0.03,3382,2048,3,6144,1826
2026-04-20T19:30:00.665669+00:00,btc-updown-5m-1776713100,btc-updown-5m-1776713400,0.03,3791,2048,3,6144,2028
2026-04-20T19:35:00.453018+00:00,btc-updown-5m-1776713400,btc-updown-5m-1776713700,0.03,4187,2048,3,6144,2270
2026-04-20T19:40:00.735781+00:00,btc-updown-5m-1776713700,btc-updown-5m-1776714000,0.03,4590,2048,3,6144,2446
2026-04-20T19:45:00.256637+00:00,btc-updown-5m-1776714000,btc-updown-5m-1776714300,0.03,4965,2048,3,6144,2624
2026-04-20T19:50:00.931833+00:00,btc-updown-5m-1776714300,btc-updown-5m-1776714600,0.03,5342,2048,3,6144,2794
2026-04-20T19:55:00.682072+00:00,btc-updown-5m-1776714600,btc-updown-5m-1776714900,0.03,5702,2048,3,6144,2957
2026-04-20T20:00:00.338800+00:00,btc-updown-5m-1776714900,btc-updown-5m-1776715200,0.03,6065,2048,3,6144,3109
